,Unnamed: 0,index,answer,question,Prompt,Output,Answer,Correct,,,
10,10,10,1.82,Lin's bike travels 100 meters when her wheels rotate 55 times. What is the circumference of her wheels? Round your answer to the nearest hundredth place. Do not include units (meters) in your answer.,Please answer this question: Lin's bike travels 100 meters when her wheels rotate 55 times. What is the circumference of her wheels? Round your answer to the nearest hundredth place. Do not include units (meters) in your answer.,"To find the circumference of Lin's wheels, we can divide the distance traveled by the number of rotations. The result is 100 / 55 = 1.8181818181818181. Rounded to the nearest hundredth, the circumference is 1.82.",1.82,TRUE,,,
11,11,11,75,Priya drew a circle whose circumference is 25 cm. Clare drew a circle whose diameter is 3 times the diameter of Priya's circle. What is the circumference of Clare's circle? Use 3.14 for pi. Round to the nearest whole number. Do not include units (cm) in your answer.,Please answer this question: Priya drew a circle whose circumference is 25 cm. Clare drew a circle whose diameter is 3 times the diameter of Priya's circle. What is the circumference of Clare's circle? Use 3.14 for pi. Round to the nearest whole number. Do not include units (cm) in your answer.,"Priya's circle has a circumference of 25 cm. To find the diameter, we can use the formula C = pi * d, where C is the circumference and d is the diameter. Rearranging the formula, we get d = C / pi. So, d = 25 / 3.14 = 7.96. This is the diameter of Priya's circle.

Clare's circle has a diameter that is 3 times the diameter of Priya's circle. So, Clare's diameter is 7.96 * 3 = 23.88. To find the circumference of Clare's circle, we can use the formula C = pi * d. So, C = 3.14 * 23.88 = 74.92. Rounding to the nearest whole number, the circumference of Clare's circle is 75.",75,TRUE,,,
12,12,12,316,The face of a clock has a circumference of 63 in. What is the area of the face of the clock? Round your answer to the nearest whole number. Do not include units (in2) in your answer.,Please answer this question: The face of a clock has a circumference of 63 in. What is the area of the face of the clock? Round your answer to the nearest whole number. Do not include units (in2) in your answer.,The area of the face of the clock is 3960.,3960,FALSE,,,
13,13,13,12.5,A cyclist rode 3.75 miles in 0.3 hours. How fast was she going in miles per hour? Do not include units (miles per hour) in your answer.,Please answer this question: A cyclist rode 3.75 miles in 0.3 hours. How fast was she going in miles per hour? Do not include units (miles per hour) in your answer.,"To find the speed, we need to divide the distance by the time. 3.75 miles / 0.3 hours = 12.5. So the cyclist was going 12.5 miles per hour.",12.5,TRUE,,,
14,14,14,0.99,"Tyler orders a meal that costs $15. If the tax rate is 6.6%, how much will the sales tax be on Tyler's meal? Do not include units ($) in your answer.","Please answer this question: Tyler orders a meal that costs $15. If the tax rate is 6.6%, how much will the sales tax be on Tyler's meal? Do not include units ($) in your answer.",The sales tax on Tyler's meal will be 15 * 0.066 = 0.99.,0.99,TRUE,,,
15,15,15,300,"A bakery used 25% more butter this month than last month. If the bakery used 240 kilograms of butter last month, how much did it use this month? Round your answer to the nearest whole number. Do not include units (kilograms) in your answer.","Please answer this question: A bakery used 25% more butter this month than last month. If the bakery used 240 kilograms of butter last month, how much did it use this month? Round your answer to the nearest whole number. Do not include units (kilograms) in your answer.",320,320,FALSE,,,
16,16,16,1.4,"Last week, the price of oranges at the farmer's market was $1.75 per pound. This week, the price has decreased by 20%. What is the price of oranges this week? Round your answer to the nearest hundredths (second) decimal place. Do not include units ($ per pound) in your answer.","Please answer this question: Last week, the price of oranges at the farmer's market was $1.75 per pound. This week, the price has decreased by 20%. What is the price of oranges this week? Round your answer to the nearest hundredths (second) decimal place. Do not include units ($ per pound) in your answer.",The price of oranges this week is $1.40 per pound.,1.4,TRUE,,,
17,17,17,138,"A pair of designer sneakers was purchased for $120. Since they were purchased, their price has increased by 15%. What is the new price? Do not include units ($) in your answer.","Please answer this question: A pair of designer sneakers was purchased for $120. Since they were purchased, their price has increased by 15%. What is the new price? Do not include units ($) in your answer.",The new price is 138.,138,TRUE,,,
18,18,18,307.5,"Elena's aunt bought her a $150 savings bond when she was born. When Elena is 20 years old, the bond will have earned 105% in interest. How much will the bond be worth when Elena is 20 years old? Do not include units ($) in your answer.","Please answer this question: Elena's aunt bought her a $150 savings bond when she was born. When Elena is 20 years old, the bond will have earned 105% in interest. How much will the bond be worth when Elena is 20 years old? Do not include units ($) in your answer.",The bond will be worth 150 * 1.05 = 157.5 when Elena is 20 years old.,157.5,FALSE,,,
19,19,19,14.69,22% of 65 is 14.3. What is 22.6% of 65? Round your answer to the nearest hundredths (second) decimal place.,Please answer this question: 22% of 65 is 14.3. What is 22.6% of 65? Round your answer to the nearest hundredths (second) decimal place.,"To find 22.6% of 65, we can first convert the percentage to a decimal by dividing by 100: 22.6/100 = 0.226. Then, we multiply this decimal by 65: 0.226 * 65 = 14.61. Rounded to the nearest hundredth, the answer is 14.61.",14.61,FALSE,,,
20,20,20,728,"A bakery used 30% more sugar this month than last month. If the bakery used 560 kilograms of sugar last month, how much did it use this month? Do not include units (kilograms) in your answer.","Please answer this question: A bakery used 30% more sugar this month than last month. If the bakery used 560 kilograms of sugar last month, how much did it use this month? Do not include units (kilograms) in your answer.",560 * 1.30 = 728,728,TRUE,,,
21,21,21,0.95,Find each amount: 3.8% of 25,Please answer this question: Find each amount: 3.8% of 25,"3.8% of 25 is equal to 0.95. You can calculate this by multiplying 25 by 0.038 (since 3.8% is equivalent to 3.8/100 or 0.038 in decimal form). So, 25 * 0.038 = 0.95.",0.95,TRUE,,,
22,22,22,10.8,"On Monday, the high was 60 degrees Fahrenheit. On Tuesday, the high was 18% more. How much did the high increase from Monday to Tuesday? Do not include units (degrees Fahrenheit) in your answer.","Please answer this question: On Monday, the high was 60 degrees Fahrenheit. On Tuesday, the high was 18% more. How much did the high increase from Monday to Tuesday? Do not include units (degrees Fahrenheit) in your answer.",The high increased by 10.8 degrees Fahrenheit.,10.8,TRUE,,,
23,23,23,9802.9,"A car dealership pays $8,350 for a car. They mark up the price by 17.4% to get the retail price. What is the retail price of the car at this dealership? Round your answer to the nearest hundredths place. Do not include units ($) in your answer.","Please answer this question: A car dealership pays $8,350 for a car. They mark up the price by 17.4% to get the retail price. What is the retail price of the car at this dealership? Round your answer to the nearest hundredths place. Do not include units ($) in your answer.","To find the retail price, we need to calculate the markup amount and then add it to the original price. The markup amount is 17.4% of the original price.

Markup amount = (17.4/100) * $8,350 = $1,456.30

Now, add the markup amount to the original price:

Retail price = $8,350 + $1,456.30 = $9,806.30

Rounded to the nearest hundredths place, the retail price is 9806.30.",9806.3,FALSE,,,
24,24,24,7785,"A college student takes out a $7,500 loan from a bank. What will the balance of the loan be after one year (assuming the student has not made any payments yet): If the bank charges 3.8% interest each year? Do not include units ($) in your answer. Round your answer to the nearest hundredth place.","Please answer this question: A college student takes out a $7,500 loan from a bank. What will the balance of the loan be after one year (assuming the student has not made any payments yet): If the bank charges 3.8% interest each year? Do not include units ($) in your answer. Round your answer to the nearest hundredth place.","The balance of the loan after one year can be calculated using the formula for simple interest: I = P * r * t, where I is the interest, P is the principal amount (loan amount), r is the interest rate (in decimal form), and t is the time in years. In this case, P = 7,500, r = 0.038 (3.8% interest rate), and t = 1 year. 

I = 7,500 * 0.038 * 1 = 285

Now, add the interest to the principal amount to find the new loan balance: 7,500 + 285 = 7,785. Rounded to the nearest hundredth place, the balance of the loan after one year is 7,785.00.",7785,TRUE,,,
25,25,25,58.5,"A music store marks up the instruments it sells by 30%. If the store bought a guitar for $45, what will be its store price? Round your answer to the hundredth place. Do not include units ($) in your answer.","Please answer this question: A music store marks up the instruments it sells by 30%. If the store bought a guitar for $45, what will be its store price? Round your answer to the hundredth place. Do not include units ($) in your answer.","The store price of the guitar will be 1.30 times the cost price, which is 1.30 * 45 = 58.50.",58.5,TRUE,,,
26,26,26,"7,458","A watermelon weighs 8,475 grams. A scale measured the weight with an error of 12% under the actual weight. What was the measured weight? Do not include units (grams) in your answer.","Please answer this question: A watermelon weighs 8,475 grams. A scale measured the weight with an error of 12% under the actual weight. What was the measured weight? Do not include units (grams) in your answer.","The measured weight is 7,298.",7298,FALSE,,,
27,27,27,331.5,"Noah's oven thermometer gives a reading that is 2% greater than the actual temperature. If the actual temperature is 325&ordm;F, what will the thermometer reading be? Round your answer to the tenths place. Do not include units (degrees) in your answer.","Please answer this question: Noah's oven thermometer gives a reading that is 2% greater than the actual temperature. If the actual temperature is 325&ordm;F, what will the thermometer reading be? Round your answer to the tenths place. Do not include units (degrees) in your answer.","To find the thermometer reading, we need to calculate 2% of 325 and add it to the actual temperature. 2% of 325 is (2/100) * 325 = 6.5. So, the thermometer reading will be 325 + 6.5 = 331.5. Rounded to the tenths place, the answer is 331.5.",331.5,TRUE,,,
28,28,28,40,"A student estimated that it would take 3 hours to write a book report, but it actually took her 5 hours. What is the percent error for her estimate? Do not include the percent sign (%) in your answer.","Please answer this question: A student estimated that it would take 3 hours to write a book report, but it actually took her 5 hours. What is the percent error for her estimate? Do not include the percent sign (%) in your answer.","The percent error is calculated as (|estimate - actual| / actual) * 100. In this case, it is (|3 - 5| / 5) * 100 = (2 / 5) * 100 = 0.4 * 100 = 40.",40,TRUE,,,
29,29,29,0.19,"A radar gun measured the speed of a baseball at 103 miles per hour. If the baseball was actually going 102.8 miles per hour, what was the percent error in this measurement? Do not include the percent sign (%) in your answer. Round your answer to two decimal places after solving for the percent.","Please answer this question: A radar gun measured the speed of a baseball at 103 miles per hour. If the baseball was actually going 102.8 miles per hour, what was the percent error in this measurement? Do not include the percent sign (%) in your answer. Round your answer to two decimal places after solving for the percent.","To find the percent error, you can use the formula:

Percent Error = |Actual - Measured|/Actual * 100

In this case, the actual speed is 102.8 miles per hour, and the measured speed is 103 miles per hour. Plugging these values into the formula, we get:

Percent Error = |102.8 - 103|/102.8 * 100

Percent Error = |-0.2|/102.8 * 100

Percent Error = 0.001942368421052632 * 100

Percent Error = 0.19

Rounded to two decimal places, the answer is 0.19.",0.19,TRUE,,,
30,30,30,255,"A submarine is searching for underwater features. It is accompanied by a small aircraft and an underwater robotic vehicle. At one time the aircraft is 200 m above the surface, the submarine is 55 m below the surface, and the underwater robotic vehicle is 227 m below the surface. What is the difference in height between the submarine and the aircraft? Do not include units (m) in your answer.","Please answer this question: A submarine is searching for underwater features. It is accompanied by a small aircraft and an underwater robotic vehicle. At one time the aircraft is 200 m above the surface, the submarine is 55 m below the surface, and the underwater robotic vehicle is 227 m below the surface. What is the difference in height between the submarine and the aircraft? Do not include units (m) in your answer.",The difference in height between the submarine and the aircraft is 155.,155,FALSE,,,
31,31,31,-2.55,Some boats were traveling up and down a river. A satellite recorded the movements of several boats. A motor boat traveled -3.4 miles per hour for 0.75 hours. How far did it go? Do not include units (miles) in your answer.,Please answer this question: Some boats were traveling up and down a river. A satellite recorded the movements of several boats. A motor boat traveled -3.4 miles per hour for 0.75 hours. How far did it go? Do not include units (miles) in your answer.,The motor boat traveled 2.55 miles.,2.55,FALSE,,,
32,32,32,-280,A submarine is only allowed to change its depth by rising toward the surface in 60-meter stages. It starts off at -340 meters. At what depth is it after 1 stage Do not include units (m) in your answer.,Please answer this question: A submarine is only allowed to change its depth by rising toward the surface in 60-meter stages. It starts off at -340 meters. At what depth is it after 1 stage Do not include units (m) in your answer.,"After 1 stage, the submarine is at -280 meters.",-280,TRUE,,,
33,33,33,11,A coffee maker's directions say to use 2 tablespoons of ground coffee for every 6 ounces of water. How much coffee should you use for 33 ounces of water? Do not include units (tablespoons) in your answer.,Please answer this question: A coffee maker's directions say to use 2 tablespoons of ground coffee for every 6 ounces of water. How much coffee should you use for 33 ounces of water? Do not include units (tablespoons) in your answer.,"To find out how much coffee to use for 33 ounces of water, we can set up a proportion: 

2 tablespoons / 6 ounces = x tablespoons / 33 ounces 

To solve for x, cross-multiply: 

2 * 33 = 6 * x 

66 = 6x 

Now, divide both sides by 6: 

x = 11",11,TRUE,,,
34,34,34,12,"A bank charges a service fee of $7.50 per month for a checking account. A bank account has $85.00. If no money is deposited or withdrawn except the service charge, how many months until the account balance is negative? Do not include units (months) in your answer.","Please answer this question: A bank charges a service fee of $7.50 per month for a checking account. A bank account has $85.00. If no money is deposited or withdrawn except the service charge, how many months until the account balance is negative? Do not include units (months) in your answer.","To find out how many months until the account balance is negative, we can set up an equation:

85 - 7.5 * x = 0

where x is the number of months. We can solve for x by isolating it:

x = (85 - 0) / 7.5
x ≈ 11.33

Since we cannot have a fraction of a month, we round up to the nearest whole month:

x = 12 months

The account balance will be negative after 12 months.",12,TRUE,,,
35,35,35,300,"A large aquarium of water is being filled with a hose. Due to a problem, the sensor does not start working until some time into the filling process. The sensor starts its recording at the time zero minutes. The sensor initially detects the tank has 225 liters of water in it. The hose fills the aquarium at a constant rate of 15 liters per minute. What will the sensor read at the time of 5 minutes? Do not include units (liters) in your answer.","Please answer this question: A large aquarium of water is being filled with a hose. Due to a problem, the sensor does not start working until some time into the filling process. The sensor starts its recording at the time zero minutes. The sensor initially detects the tank has 225 liters of water in it. The hose fills the aquarium at a constant rate of 15 liters per minute. What will the sensor read at the time of 5 minutes? Do not include units (liters) in your answer.","The sensor initially detects 225 liters of water. At the time of 5 minutes, the hose will have added 5 * 15 = 75 liters of water to the aquarium. So, the sensor will read 225 + 75 = 300 liters at the time of 5 minutes.",300,TRUE,,,
36,36,36,24.15,A restaurant bill is $21. You leave a 15% tip. How much do you pay including the tip? Do not include units ($) in your answer.,Please answer this question: A restaurant bill is $21. You leave a 15% tip. How much do you pay including the tip? Do not include units ($) in your answer.,"To calculate the tip amount, multiply the bill by the tip percentage: 21 * 0.15 = 3.15. To find the total amount paid, add the tip to the bill: 21 + 3.15 = 24.15. The total amount paid, including the tip, is 24.15.",24.15,TRUE,,,
37,37,37,28,Andre wants to buy a backpack. The normal price of the backpack is $40. He notices that a store that sells the backpack is having a 30% off sale. What is the sale price of the backpack? Do not include units ($) in your answer,Please answer this question: Andre wants to buy a backpack. The normal price of the backpack is $40. He notices that a store that sells the backpack is having a 30% off sale. What is the sale price of the backpack? Do not include units ($) in your answer,"To calculate the sale price of the backpack, first find 30% of the normal price ($40) by multiplying 40 by 0.3, which equals 12. Then, subtract this amount from the normal price: 40 - 12 = 28. The sale price of the backpack is 28.",28,TRUE,,,
38,38,38,25,"On the first math exam, 16 students received an A grade. On the second math exam, 12 students received an A grade. What percentage decrease is that? Do not include the percent sign (%) in your answer. ","Please answer this question: On the first math exam, 16 students received an A grade. On the second math exam, 12 students received an A grade. What percentage decrease is that? Do not include the percent sign (%) in your answer. ","To calculate the percentage decrease, first find the difference in the number of A grades received between the two exams: 16 - 12 = 4. Next, divide the difference by the original number of A grades on the first exam: 4 / 16 = 0.25. Finally, multiply the result by 100 to convert it to a percentage: 0.25 * 100 = 25. So, there is a 25 decrease in the number of A grades.",25,TRUE,,,
39,39,39,-10,Find the value of each variable. a*3 = -30 a = _____,Please answer this question: Find the value of each variable. a*3 = -30 a = _____,"To find the value of 'a', divide both sides of the equation by 3:

a = -30 / 3

a = -10",-10,TRUE,,,
40,40,40,58,The baby giraffe weighed 132 pounds at birth. He gained weight at a steady rate for the first 7 months until his weight reached 538 pounds. How much did he gain each month? Do not include units (pounds) in your answer.,Please answer this question: The baby giraffe weighed 132 pounds at birth. He gained weight at a steady rate for the first 7 months until his weight reached 538 pounds. How much did he gain each month? Do not include units (pounds) in your answer.,"To find out how much the baby giraffe gained each month, we need to calculate the difference in weight between the start and end points, then divide that by the number of months.

Difference in weight = 538 pounds - 132 pounds = 406 pounds

Number of months = 7

Gain per month = 406 pounds / 7 months = 58 pounds

The baby giraffe gained 58 pounds each month.",58,TRUE,,,
41,41,41,"8,953.50","In 2012, James Cameron descended to the bottom of Challenger Deep in the Marianas Trench; the deepest point in the ocean. The vessel he rode in was called DeepSea Challenger. Challenger Deep is 35,814 feet deep at its lowest point. DeepSea Challenger's descent was a change in depth of (-4) feet per second. We can use the equation y=-4x to model this relationship, where y is the depth and xis the time in seconds that have passed. How many seconds does this model suggest it would take for DeepSea Challenger to reach the bottom? Do not include units (seconds) in your answer.","Please answer this question: In 2012, James Cameron descended to the bottom of Challenger Deep in the Marianas Trench; the deepest point in the ocean. The vessel he rode in was called DeepSea Challenger. Challenger Deep is 35,814 feet deep at its lowest point. DeepSea Challenger's descent was a change in depth of (-4) feet per second. We can use the equation y=-4x to model this relationship, where y is the depth and xis the time in seconds that have passed. How many seconds does this model suggest it would take for DeepSea Challenger to reach the bottom? Do not include units (seconds) in your answer.","To find the time it takes for DeepSea Challenger to reach the bottom, we can set y to be equal to the depth of Challenger Deep, which is 35,814 feet. We can then plug this value into the equation and solve for x:

35,814 = -4x

To isolate x, we can divide both sides of the equation by -4:

x = 35,814 / -4

x = -8,953.5

Since time cannot be negative, we take the absolute value of x:

x = 8,953.5 seconds

So, the model suggests it would take approximately 8,953.5 seconds for DeepSea Challenger to reach the bottom.",8953.5,TRUE,,,
42,42,42,5.5,"Starting at noon, the temperature dropped steadily at a rate of 0.8 degrees Celsius every hour. How many hours did it take for the temperature to decrease by 4.4 degrees Celsius? Do not include units (hours) in your answer.","Please answer this question: Starting at noon, the temperature dropped steadily at a rate of 0.8 degrees Celsius every hour. How many hours did it take for the temperature to decrease by 4.4 degrees Celsius? Do not include units (hours) in your answer.","To find the number of hours it took for the temperature to decrease by 4.4 degrees Celsius, divide 4.4 by 0.8. The result is 5.5.",5.5,TRUE,,,
43,43,43,16,A backpack normally costs $25 but it is on sale for $21. What percentage is the discount? Do not include the percent sign (%) in your answer.,Please answer this question: A backpack normally costs $25 but it is on sale for $21. What percentage is the discount? Do not include the percent sign (%) in your answer.,7,7,FALSE,,,
44,44,44,7,"One year ago, Clare was 4 feet 6 inches tall. Now Clare is 4 feet 10 inches tall. By what percentage did Clare's height increase in the last year? Round your answer to the nearest whole number. Do not include the percent sign (%) in your answer. ","Please answer this question: One year ago, Clare was 4 feet 6 inches tall. Now Clare is 4 feet 10 inches tall. By what percentage did Clare's height increase in the last year? Round your answer to the nearest whole number. Do not include the percent sign (%) in your answer. ","To find the percentage increase, first find the difference in height, then divide by the original height, and multiply by 100. The difference in height is 4 inches. One year ago, Clare was 4 feet 6 inches tall, which is 4 * 12 + 6 = 54 inches. Now Clare is 4 feet 10 inches tall, which is 4 * 12 + 10 = 58 inches. So Clare's height increased by 58 - 54 = 4 inches. To find the percentage increase, divide 4 by 54 and multiply by 100: (4/54) * 100 = 7.41. Rounding to the nearest whole number, the percentage increase in Clare's height is 7.",7,TRUE,,,
45,45,45,8,Lin's puppy is gaining weight at a rate of 0.125 pounds per day. Describe the weight gain in days per pound. Do not include units (days) in your answer.,Please answer this question: Lin's puppy is gaining weight at a rate of 0.125 pounds per day. Describe the weight gain in days per pound. Do not include units (days) in your answer.,"To describe the weight gain in days per pound, divide 1 pound by 0.125 pounds per day. The answer is 8 days per pound.",8,TRUE,,,
46,46,46,8.8,The price of a pair of earrings is $22 but Priya buys them on sale for $13.20. By how much was the price discounted? Do not include units ($) in your answer.,Please answer this question: The price of a pair of earrings is $22 but Priya buys them on sale for $13.20. By how much was the price discounted? Do not include units ($) in your answer.,The price was discounted by 40.,40,FALSE,,,
47,47,47,13.52,At a skateboard shop the price tag on a shirt says $12.58. Sales tax is 7.5% of the price. How much will you pay for the shirt? Do not include units ($) in your answer.,Please answer this question: At a skateboard shop the price tag on a shirt says $12.58. Sales tax is 7.5% of the price. How much will you pay for the shirt? Do not include units ($) in your answer.,"To calculate the total cost, first find the sales tax by multiplying the price by the tax rate: $12.58 * 7.5% = $0.945. Then add the sales tax to the original price: $12.58 + $0.945 = $13.525. The total cost will be 13.525.",13.52,TRUE,,,
48,48,48,446,"A passenger on a ship dropped his camera into the ocean. If it is descending at a rate of -4.2 meters per second, how long (in seconds) until it hits the bottom of the ocean, which is at -1875 meters? Round to the nearest second. Do not include units (seconds) in your answer.","Please answer this question: A passenger on a ship dropped his camera into the ocean. If it is descending at a rate of -4.2 meters per second, how long (in seconds) until it hits the bottom of the ocean, which is at -1875 meters? Round to the nearest second. Do not include units (seconds) in your answer.","To find the time it takes for the camera to hit the bottom of the ocean, we can use the formula:

time = (change in distance) / (rate of descent)

In this case, the change in distance is 1875 meters (from the surface to the bottom of the ocean) and the rate of descent is -4.2 meters per second. Plugging these values into the formula, we get:

time = (1875) / (-4.2) = -444.44 seconds

Since we are asked to round to the nearest second, the answer is -444.",-444,FALSE,,,
49,49,49,1,"A triangle has sides of length 7 cm, 4 cm, and 5 cm. How many unique triangles can be drawn that fit that description? Do not include units (unique triangles) using the tools below.","Please answer this question: A triangle has sides of length 7 cm, 4 cm, and 5 cm. How many unique triangles can be drawn that fit that description? Do not include units (unique triangles) using the tools below.","There is only one unique triangle that can be drawn with sides of length 7 cm, 4 cm, and 5 cm, as the order of the side lengths does not change the shape of the triangle.",1,TRUE,,,
50,50,50,318,"If you deposit $300 in an account with a 6% interest rate, how much will be in your account after 1 year? Do not include units (dollars) in your answer. ","Please answer this question: If you deposit $300 in an account with a 6% interest rate, how much will be in your account after 1 year? Do not include units (dollars) in your answer. ","The amount in your account after 1 year can be calculated using the formula: A = P(1 + r)^t, where A is the amount, P is the principal, r is the interest rate, and t is the time in years. In this case, P = 300, r = 0.06, and t = 1. Plugging these values into the formula, we get: A = 300(1 + 0.06)^1 = 300(1.06) = 318. So, after 1 year, there will be $318 in your account.",318,TRUE,,,
51,51,51,60,Two angles are supplementary. One has a measure that is twice as large as the other. Find the two angle measures. What is the measure of the smaller angle? Do not include units (degrees) in your answer.,Please answer this question: Two angles are supplementary. One has a measure that is twice as large as the other. Find the two angle measures. What is the measure of the smaller angle? Do not include units (degrees) in your answer.,"Let the smaller angle be x. The larger angle is 2x. The sum of supplementary angles is 180, so x + 2x = 180. Solving for x, we get x = 60. The smaller angle is 60 degrees.",60,TRUE,,,
