index,answer,question,Prompt,Response,Answer,Correct,,
10,1.82,Lin's bike travels 100 meters when her wheels rotate 55 times. What is the circumference of her wheels? Round your answer to the nearest hundredth place. Do not include units (meters) in your answer.,Please write a python code that will output the answer to this question: Lin's bike travels 100 meters when her wheels rotate 55 times. What is the circumference of her wheels? Round your answer to the nearest hundredth place. Do not include units (meters) in your answer. Only write python code. Store the output in variable Ans in your python code.,"circumference = 100 / (55 / 2 * 3.14159)
Ans = round(circumference, 2)",1.16,0,,
11,75,Priya drew a circle whose circumference is 25 cm. Clare drew a circle whose diameter is 3 times the diameter of Priya's circle. What is the circumference of Clare's circle? Use 3.14 for pi. Round to the nearest whole number. Do not include units (cm) in your answer.,Please write a python code that will output the answer to this question: Priya drew a circle whose circumference is 25 cm. Clare drew a circle whose diameter is 3 times the diameter of Priya's circle. What is the circumference of Clare's circle? Use 3.14 for pi. Round to the nearest whole number. Do not include units (cm) in your answer. Only write python code. Store the output in variable Ans in your python code.,"import math

Priya_circumference = 25
Priya_diameter = 2 * Priya_circumference / (2 * math.pi)

Clare_diameter = 3 * Priya_diameter
Clare_circumference = 2 * Clare_diameter * math.pi

Ans = round(Clare_circumference, 0)",150,0,,
12,316,The face of a clock has a circumference of 63 in. What is the area of the face of the clock? Round your answer to the nearest whole number. Do not include units (in2) in your answer.,Please write a python code that will output the answer to this question: The face of a clock has a circumference of 63 in. What is the area of the face of the clock? Round your answer to the nearest whole number. Do not include units (in2) in your answer. Only write python code. Store the output in variable Ans in your python code.,"import math

circumference = 63
radius = circumference / (2 * math.pi)
area = math.pi * radius ** 2

Ans = round(area, 0)",316,1,,
13,12.5,A cyclist rode 3.75 miles in 0.3 hours. How fast was she going in miles per hour? Do not include units (miles per hour) in your answer.,Please write a python code that will output the answer to this question: A cyclist rode 3.75 miles in 0.3 hours. How fast was she going in miles per hour? Do not include units (miles per hour) in your answer. Only write python code. Store the output in variable Ans in your python code.,"distance = 3.75
time = 0.3
speed = distance / time
Ans = speed",12.5,1,,
14,0.99,"Tyler orders a meal that costs $15. If the tax rate is 6.6%, how much will the sales tax be on Tyler's meal? Do not include units ($) in your answer.","Please write a python code that will output the answer to this question: Tyler orders a meal that costs $15. If the tax rate is 6.6%, how much will the sales tax be on Tyler's meal? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.","meal_cost = 15
tax_rate = 0.066
sales_tax = meal_cost * tax_rate
Ans = sales_tax",0.99,1,,
15,300,"A bakery used 25% more butter this month than last month. If the bakery used 240 kilograms of butter last month, how much did it use this month? Round your answer to the nearest whole number. Do not include units (kilograms) in your answer.","Please write a python code that will output the answer to this question: A bakery used 25% more butter this month than last month. If the bakery used 240 kilograms of butter last month, how much did it use this month? Round your answer to the nearest whole number. Do not include units (kilograms) in your answer. Only write python code. Store the output in variable Ans in your python code.","butter_last_month = 240
butter_increase = 0.25
butter_this_month = butter_last_month * (1 + butter_increase)
Ans = round(butter_this_month)",300,1,,
16,1.4,"Last week, the price of oranges at the farmer's market was $1.75 per pound. This week, the price has decreased by 20%. What is the price of oranges this week? Round your answer to the nearest hundredths (second) decimal place. Do not include units ($ per pound) in your answer.","Please write a python code that will output the answer to this question: Last week, the price of oranges at the farmer's market was $1.75 per pound. This week, the price has decreased by 20%. What is the price of oranges this week? Round your answer to the nearest hundredths (second) decimal place. Do not include units ($ per pound) in your answer. Only write python code. Store the output in variable Ans in your python code.","price_last_week = 1.75
price_decrease_percentage = 20
price_decrease_amount = (price_decrease_percentage / 100) * price_last_week
price_this_week = price_last_week - price_decrease_amount
Ans = round(price_this_week, 2)",1.4,1,,
17,138,"A pair of designer sneakers was purchased for $120. Since they were purchased, their price has increased by 15%. What is the new price? Do not include units ($) in your answer.","Please write a python code that will output the answer to this question: A pair of designer sneakers was purchased for $120. Since they were purchased, their price has increased by 15%. What is the new price? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.","sneaker_price = 120
price_increase = 0.15
new_price = sneaker_price * (1 + price_increase)
Ans = new_price",138,1,,
18,307.5,"Elena's aunt bought her a $150 savings bond when she was born. When Elena is 20 years old, the bond will have earned 105% in interest. How much will the bond be worth when Elena is 20 years old? Do not include units ($) in your answer.","Please write a python code that will output the answer to this question: Elena's aunt bought her a $150 savings bond when she was born. When Elena is 20 years old, the bond will have earned 105% in interest. How much will the bond be worth when Elena is 20 years old? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.","bond_value = 150
interest_earned = 105
future_value = bond_value * (1 + interest_earned / 100)
Ans = future_value",307.5,1,,
19,14.69,22% of 65 is 14.3. What is 22.6% of 65? Round your answer to the nearest hundredths (second) decimal place.,Please write a python code that will output the answer to this question: 22% of 65 is 14.3. What is 22.6% of 65? Round your answer to the nearest hundredths (second) decimal place. Only write python code. Store the output in variable Ans in your python code.,"def percent_of_total(percent, total):
    return (percent / 100) * total

percent = 22.6
total = 65

Ans = round(percent_of_total(percent, total), 2)

print(Ans)",14.69,1,,
20,728,"A bakery used 30% more sugar this month than last month. If the bakery used 560 kilograms of sugar last month, how much did it use this month? Do not include units (kilograms) in your answer.","Please write a python code that will output the answer to this question: A bakery used 30% more sugar this month than last month. If the bakery used 560 kilograms of sugar last month, how much did it use this month? Do not include units (kilograms) in your answer. Only write python code. Store the output in variable Ans in your python code.","sugar_last_month = 560
sugar_increase = 0.3
sugar_this_month = sugar_last_month * (1 + sugar_increase)
Ans = int(sugar_this_month)",728,1,,
21,0.95,Find each amount: 3.8% of 25,Please write a python code that will output the answer to this question: Find each amount: 3.8% of 25 Only write python code. Store the output in variable Ans in your python code.,"amount = 25 * (3.8 / 100)
Ans = amount",0.95,1,,
22,10.8,"On Monday, the high was 60 degrees Fahrenheit. On Tuesday, the high was 18% more. How much did the high increase from Monday to Tuesday? Do not include units (degrees Fahrenheit) in your answer.","Please write a python code that will output the answer to this question: On Monday, the high was 60 degrees Fahrenheit. On Tuesday, the high was 18% more. How much did the high increase from Monday to Tuesday? Do not include units (degrees Fahrenheit) in your answer. Only write python code. Store the output in variable Ans in your python code.","high_monday = 60
increase_percentage = 18
high_tuesday = high_monday * (1 + increase_percentage / 100)
increase = high_tuesday - high_monday
Ans = increase",10.8,1,,
23,9802.9,"A car dealership pays $8,350 for a car. They mark up the price by 17.4% to get the retail price. What is the retail price of the car at this dealership? Round your answer to the nearest hundredths place. Do not include units ($) in your answer.","Please write a python code that will output the answer to this question: A car dealership pays $8,350 for a car. They mark up the price by 17.4% to get the retail price. What is the retail price of the car at this dealership? Round your answer to the nearest hundredths place. Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.","from math import ceil

markup = 17.4 / 100
price = 8350
retail_price = ceil(price * (1 + markup) * 100) / 100

Ans = retail_price",9802.9,1,,
24,7785,"A college student takes out a $7,500 loan from a bank. What will the balance of the loan be after one year (assuming the student has not made any payments yet): If the bank charges 3.8% interest each year? Do not include units ($) in your answer. Round your answer to the nearest hundredth place.","Please write a python code that will output the answer to this question: A college student takes out a $7,500 loan from a bank. What will the balance of the loan be after one year (assuming the student has not made any payments yet): If the bank charges 3.8% interest each year? Do not include units ($) in your answer. Round your answer to the nearest hundredth place. Only write python code. Store the output in variable Ans in your python code.","loan_amount = 7500
interest_rate = 0.038
interest = loan_amount * interest_rate
balance = loan_amount + interest
Ans = round(balance, 2)",7785,1,,
25,58.5,"A music store marks up the instruments it sells by 30%. If the store bought a guitar for $45, what will be its store price? Round your answer to the hundredth place. Do not include units ($) in your answer.","Please write a python code that will output the answer to this question: A music store marks up the instruments it sells by 30%. If the store bought a guitar for $45, what will be its store price? Round your answer to the hundredth place. Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.","store_price = 45 * (1 + 0.30)
Ans = round(store_price, 2)",58.5,1,,
26,"7,458","A watermelon weighs 8,475 grams. A scale measured the weight with an error of 12% under the actual weight. What was the measured weight? Do not include units (grams) in your answer.","Please write a python code that will output the answer to this question: A watermelon weighs 8,475 grams. A scale measured the weight with an error of 12% under the actual weight. What was the measured weight? Do not include units (grams) in your answer. Only write python code. Store the output in variable Ans in your python code.","weight = 8475
error = 0.12
measured_weight = weight * (1 - error)
Ans = measured_weight",7458,1,,
27,331.5,"Noah's oven thermometer gives a reading that is 2% greater than the actual temperature. If the actual temperature is 325&ordm;F, what will the thermometer reading be? Round your answer to the tenths place. Do not include units (degrees) in your answer.","Please write a python code that will output the answer to this question: Noah's oven thermometer gives a reading that is 2% greater than the actual temperature. If the actual temperature is 325&ordm;F, what will the thermometer reading be? Round your answer to the tenths place. Do not include units (degrees) in your answer. Only write python code. Store the output in variable Ans in your python code.","def thermometer_reading(actual_temp):
    reading = actual_temp * 1.02
    rounded_reading = round(reading, 1)
    return rounded_reading

Ans = thermometer_reading(325)",331.5,1,,
28,40,"A student estimated that it would take 3 hours to write a book report, but it actually took her 5 hours. What is the percent error for her estimate? Do not include the percent sign (%) in your answer.","Please write a python code that will output the answer to this question: A student estimated that it would take 3 hours to write a book report, but it actually took her 5 hours. What is the percent error for her estimate? Do not include the percent sign (%) in your answer. Only write python code. Store the output in variable Ans in your python code.","actual_time = 5
estimated_time = 3
percent_error = ((actual_time - estimated_time) / actual_time) * 100
Ans = percent_error",40,1,,
29,0.19,"A radar gun measured the speed of a baseball at 103 miles per hour. If the baseball was actually going 102.8 miles per hour, what was the percent error in this measurement? Do not include the percent sign (%) in your answer. Round your answer to two decimal places after solving for the percent.","Please write a python code that will output the answer to this question: A radar gun measured the speed of a baseball at 103 miles per hour. If the baseball was actually going 102.8 miles per hour, what was the percent error in this measurement? Do not include the percent sign (%) in your answer. Round your answer to two decimal places after solving for the percent. Only write python code. Store the output in variable Ans in your python code.","speed_measured = 103
speed_actual = 102.8
error = abs(speed_measured - speed_actual)
percent_error = (error / speed_actual) * 100
Ans = round(percent_error, 2)",0.19,1,,
30,255,"A submarine is searching for underwater features. It is accompanied by a small aircraft and an underwater robotic vehicle. At one time the aircraft is 200 m above the surface, the submarine is 55 m below the surface, and the underwater robotic vehicle is 227 m below the surface. What is the difference in height between the submarine and the aircraft? Do not include units (m) in your answer.","Please write a python code that will output the answer to this question: A submarine is searching for underwater features. It is accompanied by a small aircraft and an underwater robotic vehicle. At one time the aircraft is 200 m above the surface, the submarine is 55 m below the surface, and the underwater robotic vehicle is 227 m below the surface. What is the difference in height between the submarine and the aircraft? Do not include units (m) in your answer. Only write python code. Store the output in variable Ans in your python code.","difference = abs(200 - 55)
Ans = difference",145,0,,
31,-2.55,Some boats were traveling up and down a river. A satellite recorded the movements of several boats. A motor boat traveled -3.4 miles per hour for 0.75 hours. How far did it go? Do not include units (miles) in your answer.,Please write a python code that will output the answer to this question: Some boats were traveling up and down a river. A satellite recorded the movements of several boats. A motor boat traveled -3.4 miles per hour for 0.75 hours. How far did it go? Do not include units (miles) in your answer. Only write python code. Store the output in variable Ans in your python code.,"distance = -3.4 * 0.75
Ans = distance",-2.55,1,,
32,-280,A submarine is only allowed to change its depth by rising toward the surface in 60-meter stages. It starts off at -340 meters. At what depth is it after 1 stage Do not include units (m) in your answer.,Please write a python code that will output the answer to this question: A submarine is only allowed to change its depth by rising toward the surface in 60-meter stages. It starts off at -340 meters. At what depth is it after 1 stage Do not include units (m) in your answer. Only write python code. Store the output in variable Ans in your python code.,"depth = -340 + 60
Ans = depth",-280,1,,
33,11,A coffee maker's directions say to use 2 tablespoons of ground coffee for every 6 ounces of water. How much coffee should you use for 33 ounces of water? Do not include units (tablespoons) in your answer.,Please write a python code that will output the answer to this question: A coffee maker's directions say to use 2 tablespoons of ground coffee for every 6 ounces of water. How much coffee should you use for 33 ounces of water? Do not include units (tablespoons) in your answer. Only write python code. Store the output in variable Ans in your python code.,"coffee_ounces = 2
water_ounces = 6
ratio = coffee_ounces / water_ounces
water_amount = 33
coffee_amount = ratio * water_amount
Ans = coffee_amount",11,1,,
34,12,"A bank charges a service fee of $7.50 per month for a checking account. A bank account has $85.00. If no money is deposited or withdrawn except the service charge, how many months until the account balance is negative? Do not include units (months) in your answer.","Please write a python code that will output the answer to this question: A bank charges a service fee of $7.50 per month for a checking account. A bank account has $85.00. If no money is deposited or withdrawn except the service charge, how many months until the account balance is negative? Do not include units (months) in your answer. Only write python code. Store the output in variable Ans in your python code.","balance = 85.0
service_fee = 7.5
months = 0

while balance > 0:
    balance -= service_fee
    months += 1

Ans = months - 1",11,0,,
35,300,"A large aquarium of water is being filled with a hose. Due to a problem, the sensor does not start working until some time into the filling process. The sensor starts its recording at the time zero minutes. The sensor initially detects the tank has 225 liters of water in it. The hose fills the aquarium at a constant rate of 15 liters per minute. What will the sensor read at the time of 5 minutes? Do not include units (liters) in your answer.","Please write a python code that will output the answer to this question: A large aquarium of water is being filled with a hose. Due to a problem, the sensor does not start working until some time into the filling process. The sensor starts its recording at the time zero minutes. The sensor initially detects the tank has 225 liters of water in it. The hose fills the aquarium at a constant rate of 15 liters per minute. What will the sensor read at the time of 5 minutes? Do not include units (liters) in your answer. Only write python code. Store the output in variable Ans in your python code.","def calculate_water_volume(initial_volume, fill_rate, time):
    return initial_volume + fill_rate * time

initial_volume = 225
fill_rate = 15
time = 5

Ans = calculate_water_volume(initial_volume, fill_rate, time)",300,1,,
36,24.15,A restaurant bill is $21. You leave a 15% tip. How much do you pay including the tip? Do not include units ($) in your answer.,Please write a python code that will output the answer to this question: A restaurant bill is $21. You leave a 15% tip. How much do you pay including the tip? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.,"tip_amount = 21 * 0.15
total_payment = 21 + tip_amount
Ans = total_payment",24.15,1,,
37,28,Andre wants to buy a backpack. The normal price of the backpack is $40. He notices that a store that sells the backpack is having a 30% off sale. What is the sale price of the backpack? Do not include units ($) in your answer,Please write a python code that will output the answer to this question: Andre wants to buy a backpack. The normal price of the backpack is $40. He notices that a store that sells the backpack is having a 30% off sale. What is the sale price of the backpack? Do not include units ($) in your answer Only write python code. Store the output in variable Ans in your python code.,"price = 40
discount = 0.3
sale_price = price * (1 - discount)
Ans = int(sale_price)",28,1,,
38,25,"On the first math exam, 16 students received an A grade. On the second math exam, 12 students received an A grade. What percentage decrease is that? Do not include the percent sign (%) in your answer. ","Please write a python code that will output the answer to this question: On the first math exam, 16 students received an A grade. On the second math exam, 12 students received an A grade. What percentage decrease is that? Do not include the percent sign (%) in your answer.  Only write python code. Store the output in variable Ans in your python code.","First_exam_students = 16
Second_exam_students = 12

Decrease = (First_exam_students - Second_exam_students) / First_exam_students * 100

Ans = round(Decrease, 2)",25,1,,
39,-10,Find the value of each variable. a*3 = -30 a = _____,Please write a python code that will output the answer to this question: Find the value of each variable. a*3 = -30 a = _____ Only write python code. Store the output in variable Ans in your python code.,"a = -30 / 3
Ans = a
print(Ans)",-10,1,,
40,58,The baby giraffe weighed 132 pounds at birth. He gained weight at a steady rate for the first 7 months until his weight reached 538 pounds. How much did he gain each month? Do not include units (pounds) in your answer.,Please write a python code that will output the answer to this question: The baby giraffe weighed 132 pounds at birth. He gained weight at a steady rate for the first 7 months until his weight reached 538 pounds. How much did he gain each month? Do not include units (pounds) in your answer. Only write python code. Store the output in variable Ans in your python code.,"weight_gain = 538 - 132
months = 7
weight_gain_per_month = weight_gain / months
Ans = weight_gain_per_month",58,1,,
41,"8,953.50","In 2012, James Cameron descended to the bottom of Challenger Deep in the Marianas Trench; the deepest point in the ocean. The vessel he rode in was called DeepSea Challenger. Challenger Deep is 35,814 feet deep at its lowest point. DeepSea Challenger's descent was a change in depth of (-4) feet per second. We can use the equation y=-4x to model this relationship, where y is the depth and xis the time in seconds that have passed. How many seconds does this model suggest it would take for DeepSea Challenger to reach the bottom? Do not include units (seconds) in your answer.","Please write a python code that will output the answer to this question: In 2012, James Cameron descended to the bottom of Challenger Deep in the Marianas Trench; the deepest point in the ocean. The vessel he rode in was called DeepSea Challenger. Challenger Deep is 35,814 feet deep at its lowest point. DeepSea Challenger's descent was a change in depth of (-4) feet per second. We can use the equation y=-4x to model this relationship, where y is the depth and xis the time in seconds that have passed. How many seconds does this model suggest it would take for DeepSea Challenger to reach the bottom? Do not include units (seconds) in your answer. Only write python code. Store the output in variable Ans in your python code.","You can use the following Python code to calculate the time it took for DeepSea Challenger to reach the bottom:

```python
import math

depth = 35814
rate = 4
Ans = abs(depth / rate)
```

This code defines the depth of Challenger Deep, the rate of descent, and then uses the absolute value of the division of depth by rate to calculate the time it took for DeepSea Challenger to reach the bottom. The result will be stored in the variable `Ans`.",8953.5,1,,
42,5.5,"Starting at noon, the temperature dropped steadily at a rate of 0.8 degrees Celsius every hour. How many hours did it take for the temperature to decrease by 4.4 degrees Celsius? Do not include units (hours) in your answer.","Please write a python code that will output the answer to this question: Starting at noon, the temperature dropped steadily at a rate of 0.8 degrees Celsius every hour. How many hours did it take for the temperature to decrease by 4.4 degrees Celsius? Do not include units (hours) in your answer. Only write python code. Store the output in variable Ans in your python code.","hours = 4.4 / 0.8
Ans = int(hours)",5,0,,
43,16,A backpack normally costs $25 but it is on sale for $21. What percentage is the discount? Do not include the percent sign (%) in your answer.,Please write a python code that will output the answer to this question: A backpack normally costs $25 but it is on sale for $21. What percentage is the discount? Do not include the percent sign (%) in your answer. Only write python code. Store the output in variable Ans in your python code.,"original_price = 25
sale_price = 21
discount = (original_price - sale_price) / original_price * 100
Ans = round(discount, 2)",16,1,,
44,7,"One year ago, Clare was 4 feet 6 inches tall. Now Clare is 4 feet 10 inches tall. By what percentage did Clare's height increase in the last year? Round your answer to the nearest whole number. Do not include the percent sign (%) in your answer. ","Please write a python code that will output the answer to this question: One year ago, Clare was 4 feet 6 inches tall. Now Clare is 4 feet 10 inches tall. By what percentage did Clare's height increase in the last year? Round your answer to the nearest whole number. Do not include the percent sign (%) in your answer.  Only write python code. Store the output in variable Ans in your python code.","def height_increase():
    last_year_height = 4 * 12 + 6
    current_height = 4 * 12 + 10
    height_diff = current_height - last_year_height
    percentage_diff = (height_diff / last_year_height) * 100
    rounded_diff = round(percentage_diff)
    return rounded_diff

Ans = height_increase()",7,1,,
45,8,Lin's puppy is gaining weight at a rate of 0.125 pounds per day. Describe the weight gain in days per pound. Do not include units (days) in your answer.,Please write a python code that will output the answer to this question: Lin's puppy is gaining weight at a rate of 0.125 pounds per day. Describe the weight gain in days per pound. Do not include units (days) in your answer. Only write python code. Store the output in variable Ans in your python code.,"weight_gain = 0.125
days_per_pound = 1 / weight_gain
Ans = days_per_pound

print(Ans)",8,1,,
46,8.8,The price of a pair of earrings is $22 but Priya buys them on sale for $13.20. By how much was the price discounted? Do not include units ($) in your answer.,Please write a python code that will output the answer to this question: The price of a pair of earrings is $22 but Priya buys them on sale for $13.20. By how much was the price discounted? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.,"price_earrings = 22
sale_price = 13.20
discount = price_earrings - sale_price
Ans = discount",8.8,1,,
47,13.52,At a skateboard shop the price tag on a shirt says $12.58. Sales tax is 7.5% of the price. How much will you pay for the shirt? Do not include units ($) in your answer.,Please write a python code that will output the answer to this question: At a skateboard shop the price tag on a shirt says $12.58. Sales tax is 7.5% of the price. How much will you pay for the shirt? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.,"price = 12.58
tax_rate = 0.075
total_price = price * (1 + tax_rate)
Ans = total_price",13.5235,1,,
48,446,"A passenger on a ship dropped his camera into the ocean. If it is descending at a rate of -4.2 meters per second, how long (in seconds) until it hits the bottom of the ocean, which is at -1875 meters? Round to the nearest second. Do not include units (seconds) in your answer.","Please write a python code that will output the answer to this question: A passenger on a ship dropped his camera into the ocean. If it is descending at a rate of -4.2 meters per second, how long (in seconds) until it hits the bottom of the ocean, which is at -1875 meters? Round to the nearest second. Do not include units (seconds) in your answer. Only write python code. Store the output in variable Ans in your python code.","import math

camera_depth = -1875
speed = -4.2
Ans = round(abs(camera_depth / speed), 0)",446,1,,
49,1,"A triangle has sides of length 7 cm, 4 cm, and 5 cm. How many unique triangles can be drawn that fit that description? Do not include units (unique triangles) using the tools below.","Please write a python code that will output the answer to this question: A triangle has sides of length 7 cm, 4 cm, and 5 cm. How many unique triangles can be drawn that fit that description? Do not include units (unique triangles) using the tools below. Only write python code. Store the output in variable Ans in your python code.","from math import sqrt

def is_valid_triangle(a, b, c):
    return a + b > c and a + c > b and b + c > a

def num_unique_triangles(a, b, c):
    count = 0
    for x in range(1, a + 1):
        for y in range(1, b + 1):
            for z in range(1, c + 1):
                if is_valid_triangle(x, y, z):
                    count += 1
    return count

a = 7
b = 4
c = 5

Ans = num_unique_triangles(a, b, c)
print(Ans)",59,0,,
50,318,"If you deposit $300 in an account with a 6% interest rate, how much will be in your account after 1 year? Do not include units (dollars) in your answer. ","Please write a python code that will output the answer to this question: If you deposit $300 in an account with a 6% interest rate, how much will be in your account after 1 year? Do not include units (dollars) in your answer.  Only write python code. Store the output in variable Ans in your python code.","P = 300
r = 0.06
t = 1
Ans = P * (1 + r) ** t
print(Ans)",318,1,,
51,60,Two angles are supplementary. One has a measure that is twice as large as the other. Find the two angle measures. What is the measure of the smaller angle? Do not include units (degrees) in your answer.,Please write a python code that will output the answer to this question: Two angles are supplementary. One has a measure that is twice as large as the other. Find the two angle measures. What is the measure of the smaller angle? Do not include units (degrees) in your answer. Only write python code. Store the output in variable Ans in your python code.,"Supplementary angles sum up to 180 degrees. Let the smaller angle be x, then the larger angle is 2x. We can write an equation to represent the relationship between the two angles: x + 2x = 180. We can solve for x to find the measure of the smaller angle. Here is the Python code to find the measure of the smaller angle:

```python
x = (180 - (2 * x)) / 2
Ans = x
```

To find the value of x, you can use the following code:

```python
x = (180 - (2 * x)) / 2
print(x)
```

This will output the measure of the smaller angle.",NameError: name 'x' is not defined,0,,
